key	value
schema_name	wric-topology-islands-ti2-gate-e-v1
gate	TI-2-E
gate_status	closed_exact_current_replay
closed_date	2026-08-04
review_status	three_independent_close
claim_scope	exact_direct_arbitrary_arity_collapsed_grammar_score_1616_1618_only
topology_island_claim	not_yet_evaluated
move_edge_completeness	unknown
face_completeness	unknown
grammar_membership_index_completeness	unknown
artifact_availability	durable_content_addressed_archive
provider_artifact_availability	checked_in_content_addressed_object
provider_input_sha256	ae9c0c1b746439e3544eb2e8cef877c404e019d493d173a922717b1772a2b25b
provider_artifact_bytes	81683
provider_artifact_path	phylo/evidence/topology-islands/ae9c0c1b746439e3544eb2e8cef877c404e019d493d173a922717b1772a2b25b.provider.pb.gz
provider_artifact_certificate_sha256	0079582c6f00d77b37bf4441e7e03f5b6478673e1aea1f780eb95d15b110fb8e
grammar_digest	b2d414b3afb295282e4ce75e7d1d524830ac6b907f76911d850713fa9cd49743
grammar_semantic_digest	6ed454ef9f8be63baf948250912a9bc50dc191ed41399f8c66c86ec1fbcad5eb
grammar_topology_count	575168
score_delta	2
score_view	absolute_score_interval_inclusive_v1:1616:1618
score_1616_count	12
score_1617_count	164
score_1618_count	900
selected_topology_count	1076
unique_grammar_ordinal_count	1076
unique_canonical_topology_count	1076
ordinal_topology_bijection	true
five_score_observations_verified	1076
tree_native_sankoff_separately_implemented	true
ordinal_score_ledger_sha256	7fc216738daf2d9008bdb89b94adc6fbe947f5d8fb92957f5aeeaef0dec75986
minimum_witness_ledger_sha256	4dd773e3a5a132c2e45aed4bce05d05003039164728d08c300d888e260728562
producer_source_state_sha256	0b0c332ea66d333cf52b3cd7fd6dfa04e6258421bef4e956405f4ea6d807a5a1
raw_semantic_data_sha256	c96a458f794dd9178fd975577c998bce694d4e1c566940121030273cf13e66ae
raw_semantics_hash	103b301a04fa66757d73d5cb86c8823818555ae5e82f425d7d7ea6020db13814
w1_raw_provenance_id	5d187bea419872ccf4f13c72a36f29d50140c17fcc56038a43aa5f5a0f4113b0
w8_raw_provenance_id	7b94d3d2ece5d546e89b5e89aa6dff3fc964915abf223fecba428bd66f795b05
raw_parity_certificate_sha256	b002b29854aa1dcb230be32a6731dfef811911cb71cae39832c999fb7d16111c
neutral_landscape_semantics_hash	7dfa1a6d9a1cdc0ae2cb31614db9588261e0a4f29b26776d077e3bf7e8422458
neutral_analysis_policy_hash	80a98a42505140b38f08987febd99d47d521ff3b0cc65d003fb58640381d3c1b
neutral_search_run_id	eeab61103118a6d443ee67b7c28ca76ce92caf64aedf1ef1b7402cf0c682db41
neutral_semantic_subset_sha256	715e23b576812b99860789286f1903f26904dd57e965fd71f0ce23540d7d7817
w1_neutral_artifact_provenance_id	53bd9fd07e0c26b4e7e90e72f22216511ecc0bd4740e438fec4c01f520e3c502
w8_neutral_artifact_provenance_id	9b9a3df1c5a3356304294602ba99688820580a3610e2da4f24ca9e2db02b160d
neutral_parity_certificate_sha256	19fe95b16c30700e99e6e1880b96a40beb07b799b86f06051d267a8a23bfbe9d
w1_export_certificate_sha256	9eb14ee5586ac074496deece80c53b08e631203eb08959f75a1e39bdf18e35fe
w8_export_certificate_sha256	b3c5221145e61cc0d179912957480616e2b6b84b43fe0cd71c7e373556c311e5
w1_render_certificate_sha256	30df4f7b9ecb2e2bd206b819e81d8f89b71e2abb7d385930f9d0de36952c0633
w8_render_certificate_sha256	55149eb28a84c457f9fbe2896ca5c0b39bf2bff300bd3bca0871f7ec0f08946d
w1_run_ledger_sha256	3d3041d32941b593a895db9999b3071413ef3976d1e8a0259701a0013682e266
w8_run_ledger_sha256	96d9dffdee4dab6ee1e48cac2fa2be37cdcbdb65a3f39c835d8f86c27892b49d
w1_execution_mode	fresh_same_pass
w8_execution_mode	fresh_same_pass
w1_export_runtime_seconds	7963.26
w8_export_runtime_seconds	6645.45
w1_internal_census_ms	1516980.165
w8_internal_census_ms	204344.295
