key	value
schema_name	wric-topology-islands-ti2-gate-d-v1
gate	TI-2-D
gate_status	closed_exact_current_replay
closed_date	2026-08-04
claim_scope	exact_direct_arbitrary_arity_collapsed_grammar_score_1616_1617_only
topology_island_claim	not_yet_evaluated
move_edge_completeness	unknown
face_completeness	unknown
grammar_membership_index_completeness	unknown
artifact_availability	durable_content_addressed_archive
provider_input_sha256	ae9c0c1b746439e3544eb2e8cef877c404e019d493d173a922717b1772a2b25b
grammar_digest	b2d414b3afb295282e4ce75e7d1d524830ac6b907f76911d850713fa9cd49743
grammar_semantic_digest	6ed454ef9f8be63baf948250912a9bc50dc191ed41399f8c66c86ec1fbcad5eb
grammar_topology_count	575168
score_view	absolute_score_interval_inclusive_v1:1616:1617
score_1616_count	12
score_1617_count	164
selected_topology_count	176
unique_grammar_ordinal_count	176
unique_canonical_topology_count	176
ordinal_topology_bijection	true
five_score_observations_verified	176
tree_native_sankoff_separately_implemented	true
ordinal_score_ledger_sha256	7fc216738daf2d9008bdb89b94adc6fbe947f5d8fb92957f5aeeaef0dec75986
minimum_witness_ledger_sha256	4dd773e3a5a132c2e45aed4bce05d05003039164728d08c300d888e260728562
raw_semantic_data_sha256	1370b7a622c745e8618633d0dead8abf8ddd77af89d77c851301f20de6e64d53
raw_semantics_hash	95cae35047980b4019c8be6f1233e42b9ee2ebeac91d5462bca946b319a0ad8d
w1_raw_provenance_id	311a51cbb0923a622518cb24935eddf6254947ad1fda87eecdfca6c89f338adf
w8_raw_provenance_id	4d32955dbbf2ce8d4dfffaa1515d804ca71fc4ce322c1dce014f2fbe8fe3018f
raw_parity_certificate_sha256	70bf6d149249017c9d948db0478bcf4ad09db4170905faadee2c9a9ac10b0b42
neutral_landscape_semantics_hash	7dfa1a6d9a1cdc0ae2cb31614db9588261e0a4f29b26776d077e3bf7e8422458
neutral_analysis_policy_hash	58e57ddd9058edb9baf30c05ff2e35add2b9287676d636a23f9511df20af24a0
neutral_semantic_subset_sha256	164df434bc8b4297245c82c48989c5555112be1292bb1d47e7d76c5df0ae6748
w1_neutral_artifact_provenance_id	68f78fc047439632791d8df6e6fa4a7f707f8c0decffe5a1535b7fab7dfa9f3a
w8_neutral_artifact_provenance_id	55cdfee6eb70035499f351c0fc1b13069e3e270319a0f1c7c84fceab414833e7
neutral_parity_certificate_sha256	150af90be2352ba0736925449ba91dd271b2439cc44d37eac7966be6803d4e4e
w1_export_certificate_sha256	5fca4391137294146aa378bd60ddae5176f26641caeaf7453c94916f66ce0144
w8_export_certificate_sha256	888f4342b05e07f6a812afd837e63e5d95e61f5fe03d4c99c80f4ed105d27f35
w1_render_certificate_sha256	2eb5988557a71ab1b138ea21d5b16cae5966238827c755794bab1341cf66091d
w8_render_certificate_sha256	284d902be4f1d60bbbaf474f7398731969327f07b8934e16a8fbae7859c2abfa
w1_run_ledger_sha256	9bd5caafed4b631dc24c68cda6f3157e1147545bb17edcef9f85d5ff719ce256
w8_run_ledger_sha256	645493033cde1edd960adae49563d6b7b52fce43a23e522ad7f946aed51e2c4f
w1_execution_mode	validated_resume_after_toolchain_cell_encoding_mismatch
w8_execution_mode	fresh_same_pass
w1_initial_export_runtime_seconds	2677.41
w1_recovery_finalizer_runtime_seconds	20.27
w8_export_runtime_seconds	1374.41
w1_internal_census_ms	1511286.225
w8_internal_census_ms	207272.931
w1_neutral_render_runtime_seconds	87.13
w8_neutral_render_runtime_seconds	87.61
w1_outer_logical_bytes	44014392
w8_outer_logical_bytes	44017773
w1_neutral_logical_bytes	37893445
w8_neutral_logical_bytes	37893445
durable_archive_sha256	00cbb231eceb5327fffd60966e3ca37d0cb61c6fe47ce3216706b21800f91b4d
durable_archive_bytes	1963320
durable_payload_member_count	89
durable_payload_uncompressed_bytes	163830949
durable_package_certificate_sha256	5956f44dedf3474ed43c84602e5ef514ac57d4e8d3a84aa8070980ad89b6fa90
durable_package_files_sha256	a73c0f464ac00a3dcaeae328d6293337df1ac4e4092b573c14e8ee22d54fb202
durable_packager_source_sha256	97172a8d58589eb061ded0bdf07eeb08343577c3744cefe3ec0d79b496400585
durable_archive_repo	tric-explore
durable_archive_path	phylo/evidence/topology-islands/00cbb231eceb5327fffd60966e3ca37d0cb61c6fe47ce3216706b21800f91b4d.tar.xz
w1_raw_export_ctest	passed_after_reviewed_recovery
w8_raw_export_ctest	passed
raw_parity_ctest	passed
w1_neutral_render_ctest	passed
w8_neutral_render_ctest	passed
neutral_parity_ctest	passed
durable_package_extract_validation	passed
broad_slow_suite	not_run_exact_gate_shards_only

